Past,EVT,ACRES
Past Conifer,Agricultural,45755
Past Conifer,Conifer,329629
Past Conifer,Conifer-Hardwood,48692
Past Conifer,Developed,82298
Past Conifer,Exotics,32178
Past Conifer,Grassland,261
Past Conifer,Hardwood,238727
Past Conifer,Riparian,86215
Past Conifer,Shrubland,2
Past Grassland,Agricultural,1
Past Grassland,Conifer,37
Past Grassland,Conifer-Hardwood,1
Past Grassland,Developed,26
Past Grassland,Exotics,1
Past Grassland,Hardwood,16
Past Grassland,Riparian,21
Past Hardwood,Agricultural,149329
Past Hardwood,Conifer,139963
Past Hardwood,Conifer-Hardwood,65698
Past Hardwood,Developed,113283
Past Hardwood,Exotics,33774
Past Hardwood,Grassland,84
Past Hardwood,Hardwood,1183089
Past Hardwood,Riparian,53749
Past Hardwood,Shrubland,76
Past Hardwood-Conifer,Agricultural,34671
Past Hardwood-Conifer,Conifer,214713
Past Hardwood-Conifer,Conifer-Hardwood,61506
Past Hardwood-Conifer,Developed,71034
Past Hardwood-Conifer,Exotics,18433
Past Hardwood-Conifer,Grassland,78
Past Hardwood-Conifer,Hardwood,280105
Past Hardwood-Conifer,Riparian,53020
Past Hardwood-Conifer,Shrubland,136
Past Riparian,Agricultural,13779
Past Riparian,Conifer,171188
Past Riparian,Conifer-Hardwood,6903
Past Riparian,Developed,29376
Past Riparian,Exotics,15582
Past Riparian,Grassland,29
Past Riparian,Hardwood,133660
Past Riparian,Riparian,1794831
Past Riparian,Shrubland,4
